X,400 cell,X,500 cell,,,X,rho
0.19875,0.999825974,0.159,0.999825974,,,0.355632843,0.884850398
0.20125,0.999825974,0.161,0.999825974,,,0.355950433,0.88342983
0.20375,0.999825974,0.163,0.999825974,,,0.356268023,0.882011088
0.20625,0.999825974,0.165,0.999825974,,,0.356585613,0.880594168
0.20875,0.999825974,0.167,0.999825974,,,0.356903203,0.87917907
0.21125,0.999825974,0.169,0.999825974,,,0.357220793,0.877765792
0.21375,0.999825974,0.171,0.999825974,,,0.357538383,0.876354332
0.21625,0.999825974,0.173,0.999825974,,,0.357855973,0.874944688
0.21875,0.999825974,0.175,0.999825974,,,0.358173564,0.873536859
0.22125,0.999825974,0.177,0.999825974,,,0.358491154,0.872130843
0.22375,0.999825974,0.179,0.999825974,,,0.358808744,0.870726637
0.22625,0.999825974,0.181,0.999825974,,,0.359126334,0.869324241
0.22875,0.999825974,0.183,0.999825974,,,0.359443924,0.867923653
0.23125,0.999825974,0.185,0.999825974,,,0.359761514,0.86652487
0.23375,0.999825974,0.187,0.999825974,,,0.360079104,0.865127892
0.23625,0.999825974,0.189,0.999825974,,,0.360396694,0.863732715
0.23875,0.999825974,0.191,0.999825974,,,0.360714284,0.86233934
0.24125,0.999825974,0.193,0.999825974,,,0.361031874,0.860947763
0.24375,0.999825974,0.195,0.999825974,,,0.361349465,0.859557983
0.24625,0.999825974,0.197,0.999825974,,,0.361667055,0.858169998
0.24875,0.999825974,0.199,0.999825974,,,0.361984645,0.856783807
0.25125,0.999825973,0.201,0.999825974,,,0.362302235,0.855399408
0.25375,0.999825972,0.203,0.999825974,,,0.362619825,0.854016799
0.25625,0.99982597,0.205,0.999825974,,,0.362937415,0.852635979
0.25875,0.999825966,0.207,0.999825974,,,0.363255005,0.851256945
0.26125,0.999825957,0.209,0.999825974,,,0.363572595,0.849879696
0.26375,0.999825939,0.211,0.999825974,,,0.363890185,0.84850423
0.26625,0.999825904,0.213,0.999825974,,,0.364207775,0.847130545
0.26875,0.999825835,0.215,0.999825974,,,0.364525366,0.845758641
0.27125,0.999825703,0.217,0.999825974,,,0.364842956,0.844388514
0.27375,0.999825451,0.219,0.999825974,,,0.365160546,0.843020163
0.27625,0.999824978,0.221,0.999825974,,,0.365478136,0.841653588
0.27875,0.9998241,0.223,0.999825974,,,0.365795726,0.840288784
0.28125,0.999822491,0.225,0.999825974,,,0.366113316,0.838925752
0.28375,0.999819584,0.227,0.999825974,,,0.366430906,0.83756449
0.28625,0.999814404,0.229,0.999825974,,,0.366748496,0.836204995
0.28875,0.999805311,0.231,0.999825974,,,0.367066086,0.834847265
0.29125,0.99978959,0.233,0.999825974,,,0.367383676,0.833491301
0.29375,0.999762843,0.235,0.999825974,,,0.367701267,0.832137098
0.29625,0.999718085,0.237,0.999825974,,,0.368018857,0.830784656
0.29875,0.999644515,0.239,0.999825974,,,0.368336447,0.829433974
0.30125,0.999525747,0.241,0.999825974,,,0.368654037,0.828085048
0.30375,0.999337868,0.243,0.999825974,,,0.368971627,0.826737878
0.30625,0.999046316,0.245,0.999825974,,,0.369289217,0.825392462
0.30875,0.998604659,0.247,0.999825974,,,0.369606807,0.824048799
0.31125,0.997948272,0.249,0.999825974,,,0.369924397,0.822706885
0.31375,0.997002148,0.251,0.999825974,,,0.370241987,0.821366721
0.31625,0.995659057,0.253,0.999825974,,,0.370559577,0.820028303
0.31875,0.993831954,0.255,0.999825974,,,0.370877168,0.818691631
0.32125,0.991354476,0.257,0.999825974,,,0.371194758,0.817356703
0.32375,0.988216936,0.259,0.999825974,,,0.371512348,0.816023516
0.32625,0.984134265,0.261,0.999825973,,,0.371829938,0.81469207
0.32875,0.979406697,0.263,0.999825972,,,0.372147528,0.813362362
0.33125,0.973421578,0.265,0.99982597,,,0.372465118,0.812034391
0.33375,0.967151908,0.267,0.999825966,,,0.372782708,0.810708155
0.33625,0.959338635,0.269,0.999825958,,,0.373100298,0.809383652
0.33875,0.951823545,0.271,0.999825944,,,0.373417888,0.808060881
0.34125,0.94268445,0.273,0.999825917,,,0.373735478,0.80673984
0.34375,0.934095907,0.275,0.999825868,,,0.374053069,0.805420528
0.34625,0.924330004,0.277,0.999825778,,,0.374370659,0.804102942
0.34875,0.914660011,0.279,0.999825615,,,0.374688249,0.802787081
0.35125,0.904632351,0.281,0.999825326,,,0.375005839,0.801472943
0.35375,0.894435069,0.283,0.999824814,,,0.375323429,0.800160526
0.35625,0.883846235,0.285,0.999823921,,,0.375641019,0.79884983
0.35875,0.873952684,0.287,0.999822378,,,0.375958609,0.797540851
0.36125,0.863040141,0.289,0.999819741,,,0.376276199,0.79623359
0.36375,0.852929196,0.291,0.999815289,,,0.376593789,0.794928042
0.36625,0.842709111,0.293,0.999807864,,,0.376911379,0.793624208
0.36875,0.832048057,0.295,0.999795636,,,0.37722897,0.792322086
0.37125,0.821785687,0.297,0.999775763,,,0.37754656,0.791021673
0.37375,0.811915847,0.299,0.99974391,,,0.37786415,0.789722968
0.37625,0.80119673,0.301,0.99969359,,,0.37818174,0.788425969
0.37875,0.791164706,0.303,0.999615305,,,0.37849933,0.787130675
0.38125,0.781429337,0.305,0.999495458,,,0.37881692,0.785837084
0.38375,0.771126754,0.307,0.999315075,,,0.37913451,0.784545195
0.38625,0.760907503,0.309,0.999048407,,,0.3794521,0.783255005
0.38875,0.751554308,0.311,0.998661583,,,0.37976969,0.781966513
0.39125,0.741619099,0.313,0.998111568,,,0.38008728,0.780679717
0.39375,0.731490788,0.315,0.997345776,,,0.380404871,0.779394615
0.39625,0.722016899,0.317,0.996302756,,,0.380722461,0.778111207
0.39875,0.712874313,0.319,0.99491429,,,0.381040051,0.77682949
0.40125,0.702880759,0.321,0.993109099,,,0.381357641,0.775549462
0.40375,0.693328584,0.323,0.990818048,,,0.381675231,0.774271123
0.40625,0.684245,0.325,0.98798029,,,0.381992821,0.772994469
0.40875,0.675375334,0.327,0.984549487,,,0.382310411,0.771719501
0.41125,0.665407261,0.329,0.980498955,,,0.382628001,0.770446215
0.41375,0.656683264,0.331,0.975824708,,,0.382945591,0.76917461
0.41625,0.64731895,0.333,0.970545766,,,0.383263181,0.767904685
0.41875,0.639753761,0.335,0.964701656,,,0.383580772,0.766636437
0.42125,0.628501021,0.337,0.958347708,,,0.383898362,0.765369866
0.42375,0.622368679,0.339,0.951549129,,,0.384215952,0.76410497
0.42625,0.610690008,0.341,0.944374978,,,0.384533542,0.762841746
0.42875,0.60569682,0.343,0.936892982,,,0.384851132,0.761580194
0.43125,0.5944546,0.345,0.929165743,,,0.385168722,0.760320311
0.43375,0.58613344,0.347,0.921248489,,,0.385486312,0.759062097
0.43625,0.579558717,0.349,0.9131882,,,0.385803902,0.757805548
0.43875,0.570125591,0.351,0.905023747,,,0.386121492,0.756550664
0.44125,0.562105149,0.353,0.896786667,,,0.386439082,0.755297443
0.44375,0.554727177,0.355,0.888502221,,,0.386756673,0.754045884
0.44625,0.546886121,0.357,0.880190511,,,0.387074263,0.752795984
0.44875,0.539059639,0.359,0.871867522,,,0.387391853,0.751547742
0.45125,0.53303083,0.361,0.863545999,,,0.387709443,0.750301156
0.45375,0.525845579,0.363,0.855236117,,,0.388027033,0.749056225
0.45625,0.518597921,0.365,0.846946047,,,0.388344623,0.747812947
0.45875,0.511355943,0.367,0.83868239,,,0.388662213,0.746571321
0.46125,0.505972072,0.369,0.830450499,,,0.388979803,0.745331344
0.46375,0.499187778,0.371,0.822254735,,,0.389297393,0.744093016
0.46625,0.492272556,0.373,0.814098654,,,0.389614983,0.742856334
0.46875,0.484696911,0.375,0.805985161,,,0.389932574,0.741621296
0.47125,0.479241238,0.377,0.797916623,,,0.390250164,0.740387902
0.47375,0.47357557,0.379,0.789894966,,,0.390567754,0.73915615
0.47625,0.468161895,0.381,0.781921755,,,0.390885344,0.737926037
0.47875,0.461460301,0.383,0.773998253,,,0.391202934,0.736697563
0.48125,0.456103197,0.385,0.766125478,,,0.391520524,0.735470726
0.48375,0.450943336,0.387,0.758304247,,,0.391838114,0.734245523
0.48625,0.447070744,0.389,0.750535217,,,0.392155704,0.733021954
0.48875,0.442556552,0.391,0.742818913,,,0.392473294,0.731800016
0.49125,0.438336078,0.393,0.735155761,,,0.392790884,0.730579709
0.49375,0.434542076,0.395,0.727546107,,,0.393108475,0.72936103
